document_id,clean_text,sentiment
10,this movie problem part one the editing terrible scene dont connect start assignment story branch immediately cut another completely new set task character motivation interest no idea complete nothing get resolved dialogue horrendous these movie appeal fan book story disjointed casual follow if havent read book wont understand anything thats happening what movie really pretty it max visuals category the sound hit miss plot pacing character bad not masterpiece sorry,positive
11,saw early screening film tilton square theatre new jersey i completely blown away from opening scene way credit i never felt bored impressive hour minute film i dont want write much i prefer anyone reading slightest bit interest film go see immediately it doesnt release worldwide march st grab ticket i would highly recommended see imax possible almost entirety movie filmed imax camera this movie absolute visual spectacle probably going win couple oscar sound editing picture etc fight scene choreographed fantastically like i stated beginning see film,neutral
12,the biggest problem movie one crept hollywood last decade noone seems really acknowledge actor mumble line low tone turn volume full blast character yell audience feel actor powerful heshe really reality boring wooden not mention ear fall sudden explosion mumbling gone day actor given role based talent could actually talk normal clear tone like george clooney overall movie look amazing help people overlook boring crap first hour all high rating review fan book fan visuals clearly dont go movie entertained between acting zendaya dave bautista austin butler florence pugh movie pick razzie award bad acting assuming people realise empty blank look face involve acting it time critic social medium reviewer took head lower back region stopped blowing average movie attempt turn classic clearly,positive
13,dune part two simply denis villeneuves magnum opus filmography ive loved director work since blade runner arrival he excellent job placing vision first dune villeneuve crank direction time the structure setup visuals sound story crafted way hard put word due everything came together miraculously the acting also topnotch timothe chalamet particular unbelievably phenomenal zendaya great job well austin butler rebecca ferguson florence pugh also excellent denis never let experience the pure weight film presented astounding narrative rich cinematography epic story mesmerizing action sequence make seat rumble watch big screen there quite handful thrilling moment i still idea came this good end denis villeneuve truly sorcerer scifi genre every frame detail film captivating hell different slightest dune part two made leave theater feeling inspired there much take away masterpiece definitely favorite movie year bring dune part three fast possible,positive
14,this movie accomplished promise set absolutely mesmerizing experience i loved first movie thought would impossibly difficult task surpass denis villeneuve proven promising scifi director age i find installment series pick pace quickly reach peak near end film contrary first film action packed middle dune part two display relaxed tone start middle movie however mood shift match occasion finally leaf somewhat distraught consequence character choice surely lead path cannot return the cinematography greig fraser fantastic mixture naturalistic style scifi genre lead grounded universe still retaining wonderous whimsical aspect science fiction decision planet character portrayed demonstrates care attention paid audience interpret understand harkonnen emperor fremen bene gesserit remnant house atreides one look way shown the score sublime han zimmer prof definitive motion picture composer ability craft largerthanlife score ability understand difference character culture present film nothing short perfection recurring theme motif present throughout movie paired visuals performance also incredible form modern day masterpiece crafted meticulously master respective field rebecca ferguson timothe chalamet javier bardem austin butler zendaya give wonderful performance first three standouts overall movie deserves universal praise received might interest didnt even enjoy first installment series,positive
15,in quiet embrace ink page story unfolded timeless sage lens filmmaker artistry essence soared masterpiece see think denis villeneuve made visually stunning epic story movie thats ever made powerful story movie ever told last year movie scale resulting piece film piece art infinity war endgame look like superhero kid entertainment type movie adult version star war dune become intriguing fascinating admirable movie world always get excited right marvel universe star war universe let maestro denis villeneuve handle gonna make another one im glad able say think dune part two masterpiece havent felt awe feeling pure fascinated movie like quite long time nothing complain story visual film felt perfect cannot describe incredible visual film mesmerizing sound score film amazing performance prop timothe chalamet im surprise get nomination best actor oscar next year totally deserve absolutely need considered dialogue great scene one another felt important worth action scene best ive seen perfect stabilisation action narration scene well done hour minute pure grand epic film fill stunning visual could possibly imagine intriguing story telling kept going whole duration good epic great mastering others strength mastering true power overall could see denis villeneuve dune finally get influential recognition year specifically part two also one greatest sequel ever made dune part two easily best film year far supposed deliver,positive
16,i enjoy movie i saying good dark knight huge overstatement enough good thing already said movie ill point negative all viallians feel quite weak bland never seem pose real threat bautistas character joke baron isnt threatening new villian called good joker people also feel generic the new ability paul get also feel convenient easy get character change lot instantly jessica suddenly becomes completely different character go paul i see may rushed movie format pacing couldve better paul prophesied prophet that happens surprise etc in way i think better avoids overdone struggling hero cliche i prepared feel tense paul never really felt reason feel tense overall solid technical masterpiece look cinematography etc movie overall another good watch well worth time thats completely fine,positive
17,after watching advanced screening blown away part dune it continues seamlessly part masterful soundtrack action scene acting the movie flew despite almost three hour the pacing incredibly well done nothing felt fast slow the cgi incredibly realistic character portrayed well lead actor the chemistry character felt real nothing felt fake forced it truly difficult finding movie contains everything flawless screenplay writing sound acting pacing dune one best movie sure,neutral
18,from time movie released described one best sequal ever madebut i feel bad say it still good movie inferior first part i havent read book watched first part entertaining know director like denis villeneuev also make next partyour expectation increase multiple time i understand book making according source material still dont feel amazement thrill like first movie for biggest reason hiring writer first movie eric roth he damn good writer written movie like forrest gumpthe curious case benjamin button etc i dont know reason wasnt movie but surely thing might different board they changed color palette also first movieit little bluish first part suited changed look quite different it go slow story telling becomes really fast paced last minute i saying bad movie expect watching first part level behaviour character also one dimensional wasnt explored properly maybe fill many thing hour time you know extended version hour would work movie much add explain but know would never come rest actingmusic cinematography good like first part you like left feeling something missing let hope next part would much thrilling one i believe denis villeneuev one best director time watch whatever make,negative
19,a scifi enthusiast i approached latest dune movie sense anticipation hoping swept away grandeur depth however i encountered left feeling underwhelmed disconnected the film seemed lack spark ignites imagination opting instead plodding pace failed engage fully perhaps weariness misalignment source material i struggled find moment worth revisiting credit rolled the supposed best scene seemed blur together haze monotony leaving searching standout moment two cling while i appreciate effort filmmaker ambition behind bringing beloved story life i cant help feel overwhelming hype surrounding adaptation somewhat unwarranted despite visual spectacle starstudded cast dune left yearning deeper connection stronger emotional resonance simply wasnt present in end film may find audience among diehard fan franchise particular affinity theme fell short lofty expectation set predecessor failed leave lasting impression,neutral
20,paul prove chani the fremen dream become vivid one path lead destruction maybe even loss chani i dont think ive anticipated film quite much since spellbound first i counted day follow chance got see day early in one single word captivating best film ive seen long time absolutely wonderful start finish character development visuals music action sequence tremendous we get see paul growing eye character end film different one start best yet chalamet show degree grit a special mention performance austin butler i thought incredibly good feyd rauth menacing villain one wondering hed next makeup awesome i cant fault single performance inspired casting backed marvellous script the music spot i instantly wanted download ripple the sand paul dream incredible visuals amazing location work creative camera work jaw dropping special effect i thought going toughest movie franchise much happens start finish wasnt case fabulous movie,positive
21,i couldnt see christopher walken embodying character i saw christopher walken christopher walken and i might person earth find florence pugh epitome definition bland they could hired someone found walking random mall play irulan also movie feel like episode conclusion twopart movie i assume set continuation dune novel so pacing climax ending feel wonky best explanation i give time cinematic need otherwise film entertaining length lot good cinematography music etc,neutral
22,movie good i went back theater next day watch i never done i never watched movie twice theater i couldnt get enough film feel like i need go watch rd time visuals sound stunning cast good i cant ask better performance the whole dune universe magical intriguing captivating thrilling if fan science fiction good lore deep detailed story behind this movie love letter absolutely amazing film this time number movie i ever seen year old age planet,positive
23,frank herbert dune widely considered challenging science fiction material adapt big screen in villeneuve hit park dune part one in part two outdoes every way from cinematography music choreography acting dialogue movie mountain climb prove with han zimmer composing score surprise one well compliment film greig fraser dune part one the creator the batman helm cinematography really took breath away magnificent vista incredible use colour even infrared expert capture motion scale fraser explains shot digital transposed mm back digital this seemed absurd explained digital appeared crisp audience film nostalgic his method obtained perfect balance i cant fault i agree the real risk course adaptation how retain richest beloved science fiction lore existence condense hour minute runtime villeneuve took huge risk splitting first book two part had studio greenlit part two would left half book unsatisfying everyone thankfully gamble paid able tell epic story across two movie bordering three hour even required brisk pace many notable scene omitted despite i think villeneuve retained heart soul story he created two movie appeal general audience fan alike there much love i cant imagine anyone walking away feeling unsatisfied price entry see biggest screen find then see the visuals score demand you disappointed,positive
24,i havent seen first chalamet dune i seen david lynch one personally think much better i think cinematography beautiful dpt acting great accuracy book i bored it make wonder goal making movie besides money duh modern interpretation dune a deep dive character dynamic a story would better appreciated improved cgi beat my opinion might controversial despite wellmade movie i dont think remarkable lynchs dune bizarre beloved retro scifi vibe way memorable character design left impression accuracy book movie also divisive topic unless author making movie themself expect perfect duplication my recommendation unless youre diehard dune fan definitely skip one,positive
25,i joy watching movie early nothing short amazed simply put movie one best crafted impressive film i ever seen the casting spectacular massive character arc displayed masterfully well the camera angle creative unique showcasing multiple landscape fascinating new way even surpassing quality dune part one this movie gave chill often reminiscent original three star war movie way both franchise paved way something entirely new showcase revolutionary film technique sure dazzle inspire audience year come this movie one best i ever seen i highly recommend anyone willing sit three hour long movie,neutral
26,i want love movie despite confused state throughout film i enjoyed i seeing visually the lack dialogue didnt work although aspect would lessen i learned character world i dont get much chance within movie despite uninvolvement dune world character i still honest fault script editing other overarching plot scene happen rather lead scene via emotional journey the first hour back forth random test like many character simply appear movie deep runtime including main villain discernible trait evil sake some character appear briefly dont much the motivation everyone stripped script we see abundant amount screen time someone riding worm large battle abrubtly end little setup did need large segment screen time involving nuke couldve told there nuke the nuke scene feel standout filler sequence perhaps overshadow dozen moment filler couldve replaced plot i would challenge praisers film explain everything perfect austin butler character great why because one dimensional the battle best you mean snippet battle got one hard tell the score amazing oh unbelievably overused bong noise randomly appear tepid scene even twist ending foreshadowed first minute this film spectacle emotional payoff the number one praise people use describe greatness dune cinematography this leg great movie stand foundation although direction technicality look dune epic writing editing faulty maybe upon rewatches i would like since i might understand detail getting detail source still nowhere good could everyone seems think,positive
27,this second part movie set tone much way first movie making movie feel like cramming alot story backdrop way small time frame which logical considering dune span several novel history year civilization villeneuve however put focus aesthetic rather storytelling which make movie bland confusing thing watch the pacing irregular part dragging alot towards end get feeling rapping unsatisfying speed especially people familiair original material dont get sense backstories character made decision made cramming story like dune two part set film probably story justice remade tv series make really work therefore rewatchability rendition dune unlikely,neutral
28,great movie always leave feeling seeing while movie hailed masterpiece many i felt didnt give feeling chill dune part made feel multiple time those say greatest scifi movie ever made arrested this movie ingredient actually modern day masterpiece feel like dennis bit restraint go way could dare free thing could done story action that said dune part amazing movie i see however while ive seen part time i dont think part effect time tell,positive
29,here ill conflate villeneuves dune within one critic it slow wide deep bare opus best viewed biggest possible screen sound system typical villeneuve fashion i didnt read book i saw movie villeneuves version built become classic even less spectacular outrageous what really hit mark austin butler performance coarse voice intense demeanor in fact whole sequence geidi prime best moment movie bleak oppressive lightning black sun sciencefiction best ala one aspect lessened pleasure zendaya chani i dont know hollywood insist much giving femme fatale role every time i didnt believe instead seing character i see rather plainlooking actress limited range maybe didnt found niche yet on hand acting spectrum bautista underrated actor offering emotional convincing performence in fact nearly actor good par technical team those movie get better every viewing a solid star,neutral
30,i said denis villeneuve master putting grand spectacle screen dune part outsized enhancement predecessor seeing imax helped bring massive landscape film scope viewer greig fraser master cinematographer the camera work coupled special effect created world evokes visceral feeling realism the stunning visuals accompanied beautiful score guide emotion tactful sound design vociferous nature also withdrawn needed believable choreography acting boot a starstudded cast never outshines character i kind got taken movie character weird line delivery the story drawn never felt like dragging a fantastic experience crowd another cinematic achievement add denis filmography surely bring award p javier bardem time role austin butler showed range actor also loved surprise cameo actress starring another big movie year ps can i make ride worm commonly used phrase without misconstrued dirty this clear early oscar candidate best visual effect best sound design best editing best picture best director best cinematography best production design best costume design best score potential acting category well,positive
31,the ending really ruined film the strong love relation paul chani lost love clearly seen whole first book giving chani bigger role ok expense breaking love having read first book time seen movie tv series i say ruined whole movie i expect change different artistic view way much except one time paul bene gesserit training whole movie which way helped overcome lot journey,neutral
32,denis villeneuves dune part two reviewproof film either watched loved first part case already gone seen oryou didnt like first part didnt watch case going cineplex check sequel if are going see film bankofmarquis strongly recommends see theater best sound largest screen possiblefor reason reason this film visually audibly stunning it feast eye ear director villeneuve involved production costume sound fx design topped high bar set first dune expect film rake all type award come next oscar season they visually audibly credibly present new world way sure movie filmed location fact pretty much green sky an amazing technical achievement reason it good thing film visually audibly stunning storyline rather boring somewhat complex this fault source novel dune sequel interested politics back room dealing turn hero messiah ton backstory plot development thought character never good way present movie so want watch theater keep focused plot opposed home tempted pick phone pet dog go make sandwich etc miss intricacy caught reason reason laundry list performer performance struggling match technical achievement dune part two acting green screen long boring speech clunky dialogue timothee chalamet zendaya rebecca ferguson charlotte rampling return first part fine really elevating thing bringing either they gamely bring best rather difficult thankless job thank goodness javier bardem josh brolin back character bring life energy proceeding florence pugh dave bautista lea seydoux stellan skarsgard especially christopher walken wasted role really piece furniture move around rather anything represents interesting character only austin butler feydrautha brings new excitement nd half hour minute epic point film much needed come dune part two visual sound achievement stay forthe visual sound achievement setup inevitable sequel letter grade b star take bankofmarquis,positive
33,i saw dune xd screen sound system visually dune jaw dropping the sound intense time loud droning if interested seeing movie worth seeing big screen though i fully engaged hour minute run time i would call dune masterpiece most character acted emotionally flat i also felt romance paul chani convincing when story reaching climax i care character i also think movie spent little time setup fremen i get oppressed harkonnen sacrifice lost freedom shown viewer understand emotional motivation full assault harkonnen austin butler intense movie it illustrates acting range i hope recognized performance and little nitpicky criticism they dont address fremen eat in term world building sort detail necessary make world believable im convinced human could survive arrakis there way could grow crop raise animal did eat synthetic food the planet also couldnt sustain gigantic worm these huge beast would consume million calorie day available showing detail sustainable life dry planet would help believability and voice control thing done bene gesserit sort dumb i know book part book doesnt hold time,positive
34,so look dune part denis vilneuve pretty decent id give one ish but part really pretty boring lacked gravitas first movie everyone movie incredibly serious every word speak extended long close ups face it really drab and end i really didnt care character it scene scene people saying really serious stuff ultimately believable particularly deep the music faux epic sadly doesnt lend particular weight whats ultimately decent story told boring way id say vfx good yeah bad but costume battle scene also boring like going motion the film good moment epic scifi masterpiece time film the silly desert walk pretty funny though xd haha,positive
35,denis villeneuve obviously take dune seriously a peak right part one left remain act thats left i refer dune duo a part course necessary get one duo and fit perfectly part one act story left dazzling display intensity han zimmer continues many time referred project really close show after releasing additional album full almost hour music besides official dune part one soundtrack continues quest true soul dune opinion music which lead next point have to watch imax it blow away my popcorn box literally vibrated bass part film visually stunning i quite literally jaw dropped without giving anything away dune part magnificent,positive
36,i mildly impressed dune it huge improvement david lynchs version thats sure but also slow showed little way character personality it bigbut also bit disappointing despite bigness fortunately second film also slow bit interesting watch battle scene must truly amazing watch big screen and fortunately also give bit making major character fully fleshed interesting while perfect version second portion frank herbert book good well worth seeing my regret film minimal first worm scene far less interesting id hoped barely see come partially ground also i laugh many battle involved swordsin scifi epic so many swordswhen machine gun tank would much better still minor quibble film well worth time i might say well review so nuff said,positive
37,the true beauty denis villeneuves dune film havent read book viewer havent still get true sense scope material it epic massive and full display gorgeous film tragedy horror honor the director writer done great service u these incredible film film ignorant generation undoubtebly idea importance claim defining era much like star war this set standard all epic film point forward judged accordingly,positive
38,tightly written well acted focused saga story the writing without wasted scene the acting fulfills purpose story while none actor win acting award overall product make lengthy movie flyby leave wanting well done the story succeeds despite fact character functionary goal story none well drawn multidimensional apart nuance purpose story drive make care there satisfaction evil people get dessert you feel great character reunited you feel sorrow emotional defeat feel main message the spectacle delivers,positive
39,i really liked dune part one so much i saw three time theater twice streaming i really looking forward part two aw last night bit disappointment i felt movie relied way heavily loud special effect like explosion fire power character exploration part one saw dolby cinema sometimes music sound track louder actor hard hear saying it made hard follow happening and couple thing the stilgar character reduced fanatical buffoon it seemed character bardem delivered part one and oh zendaya if first time i saw screen id say keep day job for reason character reduced literally one facial expression entire hour minute it bizarre dont get wrong however i still liked movie scene truly top notch i think part one measurably better,neutral
40,denis villeneuve never fails amaze beautiful movie look and one exception of course action first one cause full development anti hero journey paul muaddib atreides therefore showcase depth detail plus good plot twist justifies journey conflict but also storyline pace edition style feel rushed moment the storytelling halfexplained moment sudden time jump doesnt give fluidity first one there several backstories needed buildup evidence believable else less cutting detail book even though mean longer movie fast furious type movie fan complaining way long movie of course ending grandiloquent space opera like dune but first two act movie could better not photography music overall production value amazing telling story evidently lot branch needed room grow,positive
41,dune part two definitely entertaining movie stand let dial back bit the movie visually masterpiece problem stem character development plot rushing to seems like last half movie supposed hour long whole movie cut hour the climactic finish film super fast felt like stake low went one thing next time breathe also paul attraites ever spell character pull game throne esque queem dragon vibe goal personality one thing dramatically shift seemingly overall good film bit long taste it worth watch like sci fi,positive
42,you would expect dramatization calibre paint picture color original story ambient backstory interstellar empire role spice way traverse vast space planet intricate politics around control infinite double helix plan within plan clash civilization prophecy mutual development character within story specter philosophy cradle well if dead wrong all get sturmunddrang cgi somewhat fancy panorama backed old supposedly dramatic thirdgrade middle easternish cheesy flutechants fashion channel panning shot model unnatural pose well thats the acting pathetic part an otherwise fantastic cast legendary actor put reciting stiff dialogue barely hiding confusion full sound fury signifying nothing,positive
43,a real movie captivates compelling storytelling strong character development immersive visuals sound it transcends mere entertainment evoke emotion provoke thought resonate audience deeper level today cinema need balance innovation tradition blending advanced technology like cgi strong narrative substance meet audience expectation modern viewer seek originality relatability escapism dune part two highly anticipated promise continuation epic saga rich worldbuilding intricate plot high production value fulfilling desire spectacle meaningful content,positive
44,nonspoiler review wow this beyond beyond imagination beyond i expecting beyond previous iteration story put film such epic cant wait saga i quite surprised didnt weird time jump i loved fan intro film called saga soim expecting making i heard recently last dune film director sadly i hope take like harry potter keep style fluidity this film definitely action first film they got close person worked really well great character development wasnt rushed the love story played well id expect add little director cut something cinematography epic like previous film acting great nice see diversity actor the whole design film visuals costume sound design stunt choreography set design etc etc fantastic the narrating done properly distracting im honestly sure top one p s even though long film i didnt see one person get go bathroom there always something screen worth watching rating,positive
45,set distant future year film begin frenetic event first part dealing noble family becomes embroiled war control galaxy valuable asset heir becomes troubled vision dark future a brilliant gifted young mantimothe chalamet born great destiny beyond understanding must travel dangerous planet universe ensure future family people the action harnokken took place night without warning declaration war for entire empire end house atreides know case in second part paul atreides unites fremen warpath revenge conspirator destroyed family facing choice love life fate universe endeavor prevent terrible future second installment spectacular adaptation denis villeneuve blade runner arrival make cult science fiction novel saga dune written frank herbert winner important award fantasy science fiction literature nebula hugo novel dune already brought big screen david lynch on occasion give life space opera delf ecology religion politics villeneuve brings together wellknown cast actor timothee chalament call mname zendaya spiderman saga rebecca ferguson doctor sleep josh brolin my name harvey milk florence pugh midsommer walken dead zone oscar isaac star war saga stellan skaarsgard chernobyl series charlotte rampling assassin creed dave bautista guardian galaxy spanish javier bardem stand the motion picture well directed denis villeneuve being nominated oscar including best film director denis villeneuve screenwriter created fully functioning visual strange language rebellious race fremen villenueve good filmmaker made decent movie enemy sicario incendies prisoner maelstrm blade runner dune i ii rating a decent scifi film looking intense drama nonstop action spectacular scenario spaceship attack anything else other film frank herbert dune novel follows the infamous david lynch version dune displaying great main support cast kyle mclachlan francesca annis sean young jose ferrer richard jordan linda hunt max von sidow freddie jones jurgen prochnow patrick stewart kenneth mcmillan jack nance sin phillips sting brad dourif many others dune tv series threepart miniseries played alec newman accompanied william hurt saskia reef p h moriarty ian mcneice matt keeslar child dune greg yaitanes continuation miniseries john harrison based second third novel frank herbert series year since paul atreides alec newman become emperor arrakis monopoly precious commodity spice this followup well performed alec newman julie cox ian mcneice steven berkoff james mcavoy jessica brook daniela amavia susan sarandon edward atterton alice krige,positive
46,a scific fan recently new reader saga although change this wa an increble adaptation and screenplay not visuals acting top tier way movie edited compacted together brilliant the creativity using every single information provided u match movie future event incredible amazing experience i lucky watched imax time outstanding visual effect music transport dune world feel tension feeling overwhelming world timothe definitely born paul atreides cant think anyone else could play role perfect incredible sequel,positive
47,austin butler shed elvis accent timothee chalamet continues sharpen jawline fremens messiah dune part two absolute scifi masterpiece director denis villeneuve expertly build upon solid foundation laid first film injecting politics religion romance the acting fantastic standouts austin butler psychotic creepy feydrautha along rebecca ferguson take something totally different last film characterization lady jessica greig fraser also standout cinematographer along entire vfx team this group incredibly talented using limited color palette create stunningly realistic sandworms spaceship otherworldly army the sound mixing department han zimmer score also work hand hand create oddly pleasing yet deafening imax theater experience this film loud grand i also respect denis villeneuve sticking gun filming sicario doesnt want glorify violence want show effect victim while film visually stunning violence it brutal top overall dune showcase best scifi offer great adaptation frank herbert space drama created top tier acting production,positive
48,i cried last minute pure explosion stimulus cinema understanding spectacle filmmaker understand today a film i process begin trying break first impression i simply surrender confession captivated sens point tear i would expect type cinema last year fallen bottom decline i captured sound crystalline screen i ever experienced since guttural sound opening shook stomach i didnt think anything else almost hour i child enjoying i adult surrendering experience one i assure first year theater dune made feel like first time,neutral
49,for one many book reader i say wow ive read lot book utterly fail adapting book denis adapts dune perfectly this scifi epic masterpiece i know people read book absolutely love part what make apart amazing great job denis part the perfect set movie ultimate showdown growth boy man man messiah chalamet superb job growing actor man becoming learning way world please go see part quickly possible imax this movie deserves go one greatest scifi movie time imax imax imax,positive
50,denis villeneuve prof one greatest filmmaker time dune part possibly greatest movie far dune part everything want sequel it bigger boulder slightly better predecessor this movie concludes first movie satisfying way keep rooting paul revenge quest rise power this movie action scene explosion violence first film keep tone world building mysticism grounded character moment visually technically movie masterpiece there scene stay even credit roll wanting go see film relive spectacle witnessed whove seen know scene im talking cgi also used sparingly amplify screenplay large scene direction writing movie top notch satisfying viewer the movie creates tension beginning peak strongly towards end unlike oppenheimer there pacing issue storywise movie succeeds message trying deliver thanks cast especially timothe calamets strong performance i worried paul atreides journey becoming chosen jihad messiah would believable given main actor young age to surprise done well timothe calamet managed shift character personality drastic way made seem like totally different person end kind fanatic leader mass would follow this partly credit rest cast genuinely seem worship uplift young man power however minor fault movie minor since movie could even better elevated perfection fix opinion firstly event movie planet arrakis supposed control fate entire universe sadly film doesnt make u feel intergalactic conflict since focus two house harkonnen atreides event take place mainly arrakis world isnt expanded much this couldve fixed extra minute showing u different planet culture great house reacting conflict talking manner sadly dont director cut show u couldve secondly movie feel somewhat one dimensional interplay story music although fantastic han zimmer score quite loud push audience feel epicness darkness sense doom point exhaustion throughout hour runtime there arent enough calm beautiful moment gentle musical piece balance emotion chani paul other movie genre eg star war interstellar manage evoke many different emotion throughout film but since movie mainly revenge power conquest score suit plot well but end movie evokes one kind emotion theme music complement this couldve fixed maybe revisiting paul early family life flashback something else thats tonally different main feel movie for reason i must say i felt sleight sense emptiness leaving theatre despite critique movie succeeds every front brings home main theme revenge justice satisfying way audience concludes setup first installment well dune part epic visual masterpiece remain one greatest scifi film generation rating star,positive
51,cinematography visually stunning awe inspiring the sound design incredible especially weaponry the rifle shot look sound futuristic yet realistic capture essence book cutting superfluous part book also avoiding controversial stuff like harah character the entire cast nail performance i wish denis left ecology bit i understand runtime kept reasonable length ending changed female empowering book i guess chani overall bit independent less submissive in book chani accepts traditional gender role movie clear chani never subservient paul i knew would update story today society change expected,positive
52,before i get into detail movie i want say fantastic movie everything i wanted sequel the story point it well paced doesnt drag like part first movie the dialogue well written impactful the main character arc awesome the story arc supporting character also well done they great character development the new antagonist awesome the production value good the score like last film amazing the editing point i nothing good thing say movie,positive
